Team,Nationality,Position,Age,Potential,Name
Free Agents ,Uruguay,Medio izquierdo|Medio centro ofensivo|Extremo izquierdo,32,Muy bueno,Saúl Marcelo Ardero
Free Agents ,Uruguay,Defensa central|Medio centro ofensivo,36,Muy bueno,Jaime Nicolás Frendado
Real Betis ,Spain,Delantero Centro,26,Muy bueno,Loren
Real Madrid ,Brazil,Lateral derecho|Defensa central,22,Muy bueno,Éder Militão
Valencia CF ,Uruguay,Delantero Centro,23,Muy bueno,Maximiliano Gómez
West Ham United ,Czech Republic,Medio centro ofensivo|Medio centro,25,Muy bueno,Tomáš Soucek
Ajax ,Brazil,Medio centro ofensivo|Extremo izquierdo,23,Muy bueno,David Neres
Lazio ,Italy,Medio derecho,26,Muy bueno,Manuel Lazzari
Olympique Lyonnais ,France,Medio izquierdo|Medio centro,22,Muy bueno,Houssem Aouar
Everton ,Brazil,Delantero Centro|Medio derecho|Medio izquierdo,23,Muy bueno,Richarlison
Santos ,Brazil,Delantero Centro,20,Muy bueno,Luimo Boas Santos
Palmeiras ,Brazil,Defensa central,32,Muy bueno,Tony Abranjes
Fluminense ,Brazil,Medio izquierdo|Medio centro ofensivo|Extremo izquierdo,20,Muy bueno,Laure Santeiro
Leicester City ,England,Lateral izquierdo,23,Muy bueno,Ben Chilwell
Bayer 04 Leverkusen ,Jamaica,Medio derecho|Medio izquierdo,22,Muy bueno,Leon Bailey
Atlético Madrid ,Spain,Defensa central,25,Muy bueno,Mario Hermoso
Real Madrid ,France,Lateral izquierdo,25,Muy bueno,Ferland Mendy
FC Porto ,Mali,Delantero Centro|Medio derecho,29,Muy bueno,Moussa Marega
Atlético Madrid ,Spain,Medio centro ofensivo|Medio centro,25,Muy bueno,Marcos Llorente
Real Betis ,Spain,Delantero Centro,27,Muy bueno,Borja Iglesias
Arsenal ,Uruguay,Medio centro ofensivo|Medio centro,24,Muy bueno,Lucas Torreira
VfL Wolfsburg ,Netherlands,Delantero Centro,27,Muy bueno,Wout Weghorst
Arsenal ,Spain,Medio centro|Medio centro ofensivo,23,Muy bueno,Dani Ceballos
RB Leipzig ,Germany,Carrilero derecho|Lateral derecho|Lateral izquierdo|Extremo izquierdo,24,Muy bueno,Lukas Klostermann
Manchester United ,Sweden,Defensa central,26,Muy bueno,Victor Lindelöf
Levante UD ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,33,Muy bueno,Morales
Leicester City ,Belgium,Medio centro,23,Muy bueno,Youri Tielemans
River Plate ,Argentina,Medio centro|Medio centro ofensivo,30,Muy bueno,Ignacio Fernández
Lazio ,Argentina,Delantero Centro|Medio centro ofensivo|Media punta,25,Muy bueno,Joaquín Correa
Montpellier Hérault SC ,Argentina,Portero,28,Muy bueno,Gerónimo Rulli
Bayer 04 Leverkusen ,Germany,Defensa central,24,Muy bueno,Jonathan Tah
Lokomotiv Moscow ,Portugal,Medio izquierdo|Medio centro|Medio centro ofensivo,27,Muy bueno,João Mário
Juventus ,Italy,Medio derecho|Medio centro ofensivo,26,Muy bueno,Federico Bernardeschi
SL Benfica ,Greece,Portero,26,Muy bueno,Odisseas Vlachodimos
Bayer 04 Leverkusen ,Germany,Medio centro,27,Muy bueno,Kerem Demirbay
Valencia CF ,Spain,Lateral izquierdo,25,Muy bueno,Gayà
Juventus ,Italy,Defensa central,26,Muy bueno,Daniele Rugani
RB Leipzig ,Germany,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,28,Muy bueno,Marcel Halstenberg
Napoli ,Poland,Medio izquierdo|Medio centro,26,Muy bueno,Piotr Zielinski
RB Leipzig ,Sweden,Medio izquierdo|Medio centro ofensivo,28,Muy bueno,Emil Forsberg
Boca Juniors ,Argentina,Portero,29,Muy bueno,Esteban Andrada
Cagliari ,Italy,Portero,26,Muy bueno,Alessio Cragno
Paris Saint-Germain ,Spain,Lateral izquierdo|Medio izquierdo,27,Muy bueno,Juan Bernat
Everton ,England,Portero,26,Muy bueno,Jordan Pickford
Athletic Club ,Spain,Defensa central,29,Muy bueno,Iñigo Martínez
Guangzhou R&F FC ,Israel,Delantero Centro|Extremo izquierdo,33,Muy bueno,Eran Zahavi
Chelsea ,France,Defensa central,25,Muy bueno,Kurt Zouma
Sevilla FC ,Czech Republic,Portero,31,Muy bueno,Tomáš Vaclík
Manchester City ,England,Defensa central,26,Muy bueno,John Stones
Valencia CF ,Italy,Lateral derecho,29,Muy bueno,Alessandro Florenzi
Sevilla FC ,Spain,Medio centro ofensivo|Extremo izquierdo,26,Muy bueno,Suso
VfL Wolfsburg ,France,Lateral izquierdo|Medio izquierdo,27,Muy bueno,Jérôme Roussillon
Watford ,Spain,Medio izquierdo|Media punta,26,Muy bueno,Deulofeu
Paris Saint-Germain ,Belgium,Lateral derecho|Medio derecho,28,Muy bueno,Thomas Meunier
Eintracht Frankfurt ,Austria,Defensa central,27,Muy bueno,Martin Hinteregger
Valencia CF ,Central African Rep.,Medio centro,27,Muy bueno,Geoffrey Kondogbia
RC Celta ,Brazil,Medio derecho|Medio centro|Medio centro ofensivo,27,Muy bueno,Rafinha
FC Porto ,Argentina,Portero,32,Muy bueno,Agustín Marchesín
AS Monaco Football Club SA ,France,Portero,29,Muy bueno,Benjamin Lecomte
Feyenoord ,Netherlands,Extremo izquierdo,28,Muy bueno,Steven Berghuis
R. Valladolid CF ,Spain,Portero,31,Muy bueno,Jordi Masip
Sporting CP ,Uruguay,Defensa central,29,Muy bueno,Sebastián Coates
RB Leipzig ,Slovenia,Medio centro ofensivo|Medio centro|Medio centro ofensivo,29,Muy bueno,Kevin Kampl
Liverpool ,Switzerland,Medio derecho|Extremo izquierdo,28,Muy bueno,Xherdan Shaqiri
Roma ,Ermenia,Medio derecho|Medio centro ofensivo|Extremo izquierdo,31,Muy bueno,Henrikh Mkhitaryan
Chelsea ,Spain,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,29,Muy bueno,Marcos Alonso
Paris Saint-Germain ,Spain,Medio centro ofensivo|Medio centro,30,Muy bueno,Ander Herrera
Boca Juniors ,Argentina,Medio derecho|Extremo izquierdo,30,Muy bueno,Eduardo Salvio
Shanghai Greenland Shenhua FC ,Italy,Medio izquierdo|Extremo izquierdo,27,Muy bueno,Stephan El Shaarawy
Besiktas JK ,Serbia,Medio centro ofensivo|Extremo izquierdo,28,Muy bueno,Adem Ljajic
Roma ,England,Defensa central,30,Muy bueno,Chris Smalling
Sevilla FC ,Netherlands,Delantero Centro,29,Muy bueno,Luuk de Jong
Milan ,Italy,Medio centro,30,Muy bueno,Giacomo Bonaventura
Torino ,Cameroon,Defensa central,30,Muy bueno,Nicolas Nkoulou
Shakhtar Donetsk ,Ukraine,Medio derecho|Medio centro ofensivo,32,Muy bueno,Marlos
Brescia ,Italy,Delantero Centro,29,Muy bueno,Mario Balotelli
Atlético Madrid ,England,Lateral derecho,29,Muy bueno,Kieran Trippier
Fenerbahçe SK ,Brazil,Defensa central|Medio centro ofensivo,33,Muy bueno,Luiz Gustavo
Al Nassr ,Brazil,Medio centro ofensivo,30,Muy bueno,Giuliano
Inter ,Chile,Medio izquierdo|Extremo izquierdo,31,Muy bueno,Alexis Sánchez
Al Hilal ,Italy,Delantero Centro|Medio centro ofensivo|Media punta,33,Muy bueno,Sebastian Giovinco
FC Bayern München ,Germany,Defensa central,31,Muy bueno,Jérôme Boateng
Athletic Club ,Spain,Lateral izquierdo,30,Muy bueno,Yuri Berchiche
Arsenal ,Brazil,Defensa central,33,Muy bueno,David Luiz
Milan ,Denmark,Defensa central,31,Muy bueno,Simon Kjær
Atlético Madrid ,Spain,Portero,33,Muy bueno,Adán
Bayer 04 Leverkusen ,Germany,Defensa central|Medio centro ofensivo,31,Muy bueno,Sven Bender
Bayer 04 Leverkusen ,Germany,Lateral derecho|Medio centro ofensivo|Medio centro,31,Muy bueno,Lars Bender
Club Brugge KV ,Belgium,Portero,32,Muy bueno,Simon Mignolet
Arsenal ,Greece,Defensa central,32,Muy bueno,Sokratis
FC Girondins de Bordeaux ,France,Defensa central,34,Muy bueno,Laurent Koscielny
West Ham United ,Poland,Portero,35,Muy bueno,Lukasz Fabianski
Sassuolo ,Italy,Portero,33,Muy bueno,Andrea Consigli
Sampdoria ,Italy,Delantero Centro,37,Muy bueno,Fabio Quagliarella
Al Hilal ,France,Delantero Centro,34,Muy bueno,Bafétimbi Gomis
Tigres U.A.N.L. ,France,Delantero Centro|Media punta,34,Muy bueno,André-Pierre Gignac
Liverpool ,England,Lateral derecho|Lateral izquierdo|Medio centro,34,Muy bueno,James Milner
Hertha BSC ,Norway,Portero,35,Muy bueno,Rune Almenning Jarstein
Free Agents ,Uruguay,Lateral izquierdo|Medio izquierdo,32,Muy bueno,Mauro Evidio Nérez
Free Agents ,Uruguay,Medio centro ofensivo|Medio centro,36,Muy bueno,Matías David Baldona
Free Agents ,Uruguay,Portero,32,Muy bueno,Jorge Ezequiel Serendero
Sevilla FC ,Spain,Lateral izquierdo|Medio izquierdo,23,Muy bueno,Reguilón
SL Benfica ,Brazil,Delantero Centro,25,Muy bueno,Vinícius
Dynamo Kyiv ,Ukraine,Medio derecho|Medio izquierdo,22,Muy bueno,Viktor Tsygankov
RB Leipzig ,Spain,Medio derecho|Medio izquierdo|Medio centro ofensivo,22,Muy bueno,Dani Olmo
Atlético Madrid ,Portugal,Delantero Centro|Medio izquierdo|Media punta,20,Sobresaliente,João Félix
Dinamo Zagreb ,Croatia,Portero,25,Muy bueno,Dominik Livakovic
Borussia Dortmund ,Norway,Delantero Centro,20,Sobresaliente,Erling Braut Haaland
RCD Espanyol ,Spain,Medio derecho|Medio centro,22,Muy bueno,Melendo
Tottenham Hotspur ,France,Medio centro ofensivo|Medio centro,23,Muy bueno,Tanguy Ndombele
Valencia CF ,Spain,Medio derecho|Medio izquierdo|Medio centro,23,Muy bueno,Carlos Soler
Stade Rennais FC ,Brazil,Medio derecho|Extremo izquierdo,23,Muy bueno,Raphinha
RB Leipzig ,France,Delantero Centro|Medio centro|Medio centro ofensivo,22,Muy bueno,Christopher Nkunku
Leicester City ,Turkey,Defensa central,24,Muy bueno,Çaglar Söyüncü
Cruzeiro ,Brazil,Lateral izquierdo|Medio izquierdo,20,Muy bueno,Welington Dano
São Paulo ,Brazil,Lateral izquierdo|Carrilero izquierdo|Extremo izquierdo,28,Muy bueno,Adryan Zonta
Fluminense ,Brazil,Medio centro ofensivo|Medio centro,24,Muy bueno,Everton Andrão
Flamengo ,Brazil,Portero,24,Muy bueno,Héniton Pires
RB Leipzig ,France,Defensa central,21,Muy bueno,Dayot Upamecano
SV Werder Bremen ,Kosovo,Media punta|Extremo izquierdo|Extremo izquierdo,24,Muy bueno,Milot Rashica
Roma ,Italy,Medio centro ofensivo|Medio centro|Medio centro ofensivo,24,Muy bueno,Lorenzo Pellegrini
Borussia Mönchengladbach ,France,Delantero Centro|Extremo izquierdo,22,Muy bueno,Marcus Thuram
Athletic Club ,Spain,Defensa central,25,Muy bueno,Yeray
Chelsea ,United States,Medio izquierdo|Extremo izquierdo|Extremo izquierdo,21,Muy bueno,Christian Pulisic
Juventus ,Uruguay,Medio centro,23,Muy bueno,Rodrigo Bentancur
SD Eibar ,Serbia,Portero,28,Muy bueno,Marko Dmitrovic
FC Bayern München ,France,Lateral derecho|Defensa central,24,Muy bueno,Benjamin Pavard
Paris Saint-Germain ,France,Lateral izquierdo|Defensa central,24,Muy bueno,Abdou Diallo
AS Monaco Football Club SA ,Russia,Medio centro|Medio centro ofensivo,24,Muy bueno,Alexandr Golovin
Manchester United ,Ivory Coast,Defensa central,26,Muy bueno,Eric Bailly
RB Leipzig ,Austria,Lateral derecho|Medio centro ofensivo|Medio centro,23,Muy bueno,Konrad Laimer
Real Sociedad ,Spain,Medio centro,24,Muy bueno,Merino
Wolverhampton Wanderers ,Portugal,Media punta|Extremo izquierdo,23,Muy bueno,Diogo Jota
Inter ,Italy,Medio centro|Medio centro ofensivo,23,Muy bueno,Nicolò Barella
Olympique Lyonnais ,Cameroon,Delantero Centro|Medio izquierdo,27,Muy bueno,Karl Toko-Ekambi
Olympique de Marseille ,France,Medio centro|Medio centro ofensivo,25,Muy bueno,Valentin Rongier
Getafe CF ,Spain,Delantero Centro,31,Muy bueno,Mata
Tottenham Hotspur ,England,Medio centro ofensivo|Medio centro,24,Muy bueno,Harry Winks
Napoli ,Mexico,Delantero Centro|Extremo izquierdo|Extremo izquierdo,24,Muy bueno,Hirving Lozano
Olympique Lyonnais ,Belgium,Defensa central,25,Muy bueno,Jason Denayer
Inter ,Uruguay,Medio centro ofensivo,28,Muy bueno,Matias Vecino
AS Monaco Football Club SA ,France,Medio centro ofensivo|Medio centro,25,Muy bueno,Tiemoué Bakayoko
Sevilla FC ,Brazil,Defensa central,27,Muy bueno,Diego Carlos
Newcastle United ,France,Delantero Centro|Medio izquierdo|Extremo izquierdo,23,Muy bueno,Allan Saint-Maximin
Athletic Club ,Spain,Medio centro ofensivo|Medio centro,30,Muy bueno,Dani García
Torino ,Italy,Defensa central,28,Muy bueno,Armando Izzo
OGC Nice ,Argentina,Portero,27,Muy bueno,Walter Benítez
Olympique de Marseille ,Argentina,Delantero Centro,30,Muy bueno,Darío Benedetto
River Plate ,Argentina,Portero,33,Muy bueno,Franco Armani
Olympique Lyonnais ,Brazil,Medio centro ofensivo|Medio centro,28,Muy bueno,Thiago Mendes
Chelsea ,Denmark,Defensa central,24,Muy bueno,Andreas Christensen
Everton ,Portugal,Medio centro ofensivo|Medio centro,26,Muy bueno,André Gomes
Olympique de Marseille ,France,Medio centro|Medio centro ofensivo,25,Muy bueno,Morgan Sanson
River Plate ,Colombia,Medio centro ofensivo,27,Muy bueno,Juan Fernando Quintero
Manchester United ,Brazil,Medio centro ofensivo|Medio centro,27,Muy bueno,Fred
AFC Bournemouth ,Netherlands,Defensa central,25,Muy bueno,Nathan Aké
Real Madrid ,Spain,Medio derecho|Extremo izquierdo,29,Muy bueno,Lucas Vázquez
TSG 1899 Hoffenheim ,Israel,Delantero Centro,28,Muy bueno,Munas Dabbur
Real Sociedad ,Belgium,Medio derecho|Extremo izquierdo,25,Muy bueno,Adnan Januzaj
SL Benfica ,Brazil,Medio centro ofensivo|Medio centro,26,Muy bueno,Gabriel
Watford ,France,Medio centro ofensivo|Medio centro|Medio centro ofensivo,27,Muy bueno,Abdoulaye Doucouré
Milan ,Turkey,Medio centro|Extremo izquierdo,26,Muy bueno,Hakan Çalhanoglu
RB Leipzig ,Denmark,Delantero Centro,26,Muy bueno,Yussuf Poulsen
Sevilla FC ,Argentina,Medio izquierdo|Medio centro|Medio centro ofensivo,31,Muy bueno,Franco Vázquez
Aston Villa ,England,Medio centro|Medio centro ofensivo|Extremo izquierdo,24,Muy bueno,Jack Grealish
Borussia Mönchengladbach ,France,Delantero Centro|Extremo izquierdo,27,Muy bueno,Alassane Plea
Shakhtar Donetsk ,Ukraine,Medio centro ofensivo,30,Muy bueno,Taras Stepanenko
Manchester United ,England,Lateral izquierdo,25,Muy bueno,Luke Shaw
Sevilla FC ,Argentina,Extremo izquierdo|Extremo izquierdo,26,Muy bueno,Lucas Ocampos
FC Schalke 04 ,Serbia,Defensa central,27,Muy bueno,Matija Nastasic
Manchester City ,France,Lateral izquierdo,26,Muy bueno,Benjamin Mendy
RB Leipzig ,Hungary,Defensa central,27,Muy bueno,Willi Orban
Toronto FC ,Spain,Medio centro ofensivo|Media punta,28,Muy bueno,Pozuelo
Atlético Madrid ,Croatia,Lateral derecho,28,Muy bueno,Šime Vrsaljko
Burnley ,England,Portero,28,Muy bueno,Nick Pope
FC Porto ,Cape Verde,Delantero Centro,29,Muy bueno,Zé Luís
Olympique de Marseille ,Spain,Defensa central,30,Muy bueno,Álvaro
Wolverhampton Wanderers ,France,Defensa central,29,Muy bueno,Willy Boly
Burnley ,England,Defensa central,27,Muy bueno,James Tarkowski
Torino ,Italy,Delantero Centro,29,Muy bueno,Simone Zaza
RCD Espanyol ,Spain,Medio izquierdo|Medio centro|Medio centro ofensivo,26,Muy bueno,Sergi Darder
FC Schalke 04 ,Senegal,Defensa central|Medio centro ofensivo,29,Muy bueno,Salif Sané
Wolverhampton Wanderers ,Republic of Ireland,Carrilero derecho|Extremo izquierdo,28,Muy bueno,Matt Doherty
Real Betis ,Algeria,Defensa central,28,Muy bueno,Aïssa Mandi
Shakhtar Donetsk ,Brazil,Lateral izquierdo,30,Muy bueno,Ismaily
1. FC Köln ,Germany,Portero,27,Muy bueno,Timo Horn
Club Brugge KV ,Belgium,Medio centro|Medio centro ofensivo,27,Muy bueno,Hans Vanaken
Levante UD ,Spain,Medio centro ofensivo|Medio centro,27,Muy bueno,Campaña
Atlético Madrid ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,30,Muy bueno,Vitolo
Arsenal ,Switzerland,Medio centro ofensivo|Medio centro,27,Muy bueno,Granit Xhaka
Atalanta ,Colombia,Delantero Centro,29,Muy bueno,Luis Muriel
Brighton & Hove Albion ,Australia,Portero,28,Muy bueno,Mathew Ryan
Liverpool ,England,Medio derecho|Medio centro,26,Muy bueno,Alex Oxlade-Chamberlain
VfL Wolfsburg ,France,Defensa central|Medio centro ofensivo|Medio centro,29,Muy bueno,Josuha Guilavogui
River Plate ,Argentina,Medio centro ofensivo|Medio centro,34,Muy bueno,Enzo Pérez
Liverpool ,Croatia,Defensa central,31,Muy bueno,Dejan Lovren
Levante UD ,Spain,Portero,29,Muy bueno,Aitor
Manchester City ,Argentina,Defensa central,32,Muy bueno,Nicolás Otamendi
Borussia Dortmund ,Germany,Medio centro|Medio centro ofensivo|Media punta,28,Muy bueno,Mario Götze
Manchester United ,Serbia,Medio centro ofensivo|Medio centro,31,Muy bueno,Nemanja Matic
LOSC Lille ,France,Medio centro ofensivo|Medio centro,29,Muy bueno,Benjamin André
Crystal Palace ,Spain,Portero,33,Muy bueno,Guaita
Chelsea ,Spain,Extremo izquierdo|Extremo izquierdo,33,Muy bueno,Pedro
Shanghai SIPG FC ,Brazil,Delantero Centro|Extremo izquierdo,34,Muy bueno,Hulk
Valencia CF ,France,Medio centro ofensivo|Medio centro,29,Muy bueno,Francis Coquelin
Eintracht Frankfurt ,Netherlands,Delantero Centro,31,Muy bueno,Bas Dost
Free Agents ,Russia,Delantero Centro,31,Muy bueno,Artem Dzyuba
Borussia Mönchengladbach ,Germany,Medio centro ofensivo|Media punta,31,Muy bueno,Lars Stindl
Everton ,Iceland,Medio centro|Medio centro ofensivo,30,Muy bueno,Gylfi Sigur?sson
Lazio ,Italy,Medio centro ofensivo|Medio centro,35,Muy bueno,Marco Parolo
Real Betis ,Brazil,Defensa central,30,Muy bueno,Sidnei
Lokomotiv Moscow ,Croatia,Defensa central,34,Muy bueno,Vedran Corluka
Chelsea ,France,Delantero Centro,33,Muy bueno,Olivier Giroud
Manchester United ,Spain,Medio derecho|Medio centro ofensivo,32,Muy bueno,Juan Mata
Getafe CF ,Spain,Delantero Centro,33,Muy bueno,Ángel
Athletic Club ,Spain,Medio centro,33,Muy bueno,Beñat
Olympiacos CFP ,France,Medio izquierdo|Medio centro ofensivo,35,Muy bueno,Mathieu Valbuena
Racing Club ,Chile,Medio centro ofensivo|Medio centro,33,Muy bueno,Marcelo Díaz
Valencia CF ,France,Delantero Centro,33,Muy bueno,Kévin Gameiro
SD Eibar ,Spain,Medio derecho|Medio izquierdo,33,Muy bueno,Pedro León
Borussia Dortmund ,Poland,Lateral derecho|Defensa central,35,Muy bueno,Lukasz Piszczek
Manchester United ,Argentina,Portero,33,Muy bueno,Sergio Romero
Valencia CF ,Denmark,Lateral derecho|Medio derecho|Medio centro,31,Muy bueno,Daniel Wass
Portland Timbers ,Argentina,Delantero Centro|Medio centro ofensivo,34,Muy bueno,Diego Valeri
Real Betis ,Mexico,Medio centro ofensivo|Medio izquierdo|Medio centro,33,Muy bueno,Andrés Guardado
Athletic Club ,Spain,Delantero Centro|Medio centro ofensivo,34,Muy bueno,Raúl García
Tottenham Hotspur ,Argentina,Medio derecho|Medio izquierdo|Medio centro ofensivo,28,Muy bueno,Erik Lamela
Leicester City ,Northern Ireland,Defensa central,32,Muy bueno,Jonny Evans
Lazio ,Romania,Defensa central,33,Muy bueno,Stefan Radu
Watford ,England,Portero,37,Muy bueno,Ben Foster
Guangzhou R&F FC ,Belgium,Medio centro ofensivo|Medio centro|Medio centro ofensivo,33,Muy bueno,Mousa Dembélé
Getafe CF ,Spain,Delantero Centro,38,Muy bueno,Jorge Molina
PFC CSKA Moscow ,Russia,Portero,34,Muy bueno,Igor Akinfeev
Trabzonspor ,Argentina,Medio centro ofensivo|Medio centro,35,Muy bueno,José Sosa
Racing Club ,Argentina,Delantero Centro,37,Muy bueno,Lisandro López
Orlando City Soccer Club ,Portugal,Extremo izquierdo|Extremo izquierdo,33,Muy bueno,Nani
Derby County ,England,Delantero Centro|Medio centro|Medio centro ofensivo,34,Muy bueno,Wayne Rooney
Real Betis ,Spain,Delantero Centro|Medio derecho|Medio izquierdo,39,Muy bueno,Joaquín
Aston Villa ,Spain,Portero,37,Muy bueno,Pepe Reina
Atlético Madrid ,Brazil,Lateral izquierdo,22,Muy bueno,Renan Lodi
Free Agents ,Uruguay,Delantero Centro,32,Bueno,Enzo Manuel Aguerro
Free Agents ,Uruguay,Portero,28,Bueno,Leandro Miguel Sáreda
Free Agents ,Uruguay,Medio centro ofensivo|Medio centro|Medio centro ofensivo,32,Bueno,Enzo Martín Riquero
Free Agents ,Uruguay,Lateral izquierdo|Defensa central,32,Bueno,Daniel Martín Lenzado
Valencia CF ,Spain,Medio derecho|Medio izquierdo|Media punta,20,Muy bueno,Ferrán Torres
FC Barcelona ,Spain,Lateral izquierdo|Medio izquierdo,23,Muy bueno,Junior Firpo
Getafe CF ,Serbia,Medio centro ofensivo|Medio centro,25,Muy bueno,Nemanja Maksimovic
Ajax ,Argentina,Defensa central|Medio centro ofensivo,22,Muy bueno,Lisandro Martínez
Getafe CF ,Spain,Lateral izquierdo|Medio izquierdo,22,Muy bueno,Cucurella
Real Madrid ,Brazil,Extremo izquierdo,20,Sobresaliente,Vinícius Jr.
Borussia Dortmund ,France,Defensa central,21,Muy bueno,Dan-Axel Zagadou
Sporting CP ,Brazil,Medio centro,22,Muy bueno,Wendel
RB Leipzig ,France,Defensa central,21,Muy bueno,Ibrahima Konaté
Manchester United ,Scotland,Medio centro ofensivo|Medio centro,23,Muy bueno,Scott McTominay
Racing Club ,Argentina,Medio derecho|Medio centro|Medio centro ofensivo,22,Muy bueno,Matías Zaracho
