Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Animation, Adventure, Fantasy, Action, Family",ja,2019-07-12,6.7,Ash; Mewtwo; created,Pokémon: Mewtwo Strikes Back - Evolution
"Animation, Action, Adventure, Fantasy",ja,2021-07-30,7.0,come; destroy; Grand,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon
"Science Fiction, Action, Adventure, Comedy",en,2014-08-07,5.9,City; emerge; York,Teenage Mutant Ninja Turtles
"Drama, Romance, Thriller",en,2015-02-11,5.9,learns; Ana; inexperienced,Fifty Shades of Grey
Action,en,2021-11-15,6.6,An; trafficking; brutal,Never Back Down: Revolt
"Animation, Family, Comedy, Fantasy",en,2021-01-15,8.1,dragon; magic; best,Wish Dragon
"Animation, Comedy, Family, Adventure",en,2002-03-10,7.3,decide; tiger; giant,Ice Age
"Action, Adventure, Comedy",en,2019-08-01,6.9,outcast; defeat; Shaw,Fast & Furious Presents: Hobbs & Shaw
"Animation, Comedy, Family",en,1999-10-30,7.6,Barn; daring; match,Toy Story 2
Action,en,2021-08-18,6.8,bring; protecting; those,Sweet Girl
Thriller,fr,2021-08-18,7.5,brigade; France; northern,The Stronghold
"Animation, Adventure, Family, Western",en,2021-05-20,7.5,small; Lucky; mustang,Spirit Untamed
"Action, Thriller",en,2021-04-29,7.1,SEAL; international; pregnant,Tom Clancy's Without Remorse
"Adventure, Fantasy",en,2010-10-17,7.8,immortality; Hermione; Eaters,Harry Potter and the Deathly Hallows: Part 1
"Animation, Science Fiction, Fantasy, Action",en,2021-10-09,7.8,go; team; Earth,Injustice
"Horror, Thriller, Comedy",pl,2021-10-27,4.0,survivor; massacre; something,Nobody Sleeps in the Woods Tonight 2
Action,en,2021-03-06,5.9,assigned; befriend; coldblooded,American Badger
"Animation, Action, Science Fiction, Drama",ja,2021-03-08,8.5,pockets; prove; end,Evangelion: 3.0+1.0 Thrice Upon a Time
"Animation, Family",en,2021-10-08,6.8,Bee; Royal; magical,LOL Surprise: The Movie
"Animation, Family, Fantasy",en,2009-02-05,7.8,forever; trick; crosses,Coraline
"Science Fiction, Adventure, Mystery, Action, Thriller, Fantasy, Comedy",fr,2020-11-19,6.2,case; past; Monte,How I Became a Superhero
"Animation, Comedy, Action, Family, Crime",en,2022-03-17,0.0,prison; heists; Wolf,The Bad Guys
"Science Fiction, Action",en,2018-09-28,6.9,Eddie; scandal; violent,Venom
"Action, Comedy",fr,2021-07-30,6.8,hes; agent; secret,The Last Mercenary
"Animation, Family, Adventure, Comedy",en,2011-06-11,6.0,race; race; gets,Cars 2
Documentary,en,2022-02-09,7.4,alleged; could; contributed,Downfall: The Case Against Boeing
"Animation, Comedy, Family, Fantasy",en,2007-06-28,7.8,Paris; masterpieces; food,Ratatouille
Animation,en,2021-12-02,7.2,Star; try; bringing,Mickey and Minnie Wish Upon a Christmas
"Animation, Science Fiction, Action",ja,1993-03-06,7.2,destruction; While; planet,Dragon Ball Z: Broly – The Legendary Super Saiyan
"Fantasy, Action, Adventure",en,2022-05-04,0.0,Multiverse; traverses; mindbending,Doctor Strange in the Multiverse of Madness
"Mystery, Crime, Drama, Thriller",en,2022-02-09,6.7,pictureperfect; steamer; Poirot,Death on the Nile
"Action, Crime, Horror, Thriller",en,2021-05-14,6.3,ultimate; Vegas; quarantine,Army of the Dead
"Family, Comedy",en,2021-11-12,5.2,tries; Max; 10yearold,Home Sweet Home Alone
"Action, Drama, Horror, Science Fiction, Thriller",en,2009-09-04,6.1,Four; grim; globe,Carriers
"Action, Drama",en,2016-08-01,7.0,killed; battles; leagues,Boyka: Undisputed IV
"Action, Adventure, Science Fiction",en,2009-10-10,5.8,escape; Curtis; information,2012
Romance,en,2021-07-06,3.3,fond; lead; lead,Why Women Cheat
"Animation, Comedy, Family, Music",en,2016-11-23,7.1,singing; theater; friend,Sing
"Adventure, Action, Thriller, Science Fiction",en,2011-06-16,5.2,Green; wears; warriors,Green Lantern
"Action, Horror, Thriller",ko,2020-07-15,6.9,Peninsula; zombies; postapocalyptic,Peninsula
Comedy,en,2015-06-25,6.3,Ted; TamiLynn; Newlywed,Ted 2
Drama,ja,1985-01-15,5.9,triangle; sexual; trapped,High School Teacher: Maturing
"Action, Adventure, Fantasy",en,2017-05-30,7.3,evil; First; confront,Wonder Woman
"Action, Thriller, Crime",en,2022-03-04,4.7,dollars; order; kidnapped,A Day to Die
"Action, Adventure, Science Fiction",en,2021-03-12,4.2,team; fleet; hostile,Cosmic Sin
"Adventure, Fantasy, Action",en,2007-05-19,7.2,nothing; believed; long,Pirates of the Caribbean: At World's End
"Horror, Action, Fantasy",en,2010-01-21,5.8,humankind; Michael; Archangel,Legion
"Animation, Comedy, Romance, Drama, Fantasy",ja,2019-06-15,8.4,appearance; girlfriend; Fujisawa,Rascal Does Not Dream of a Dreaming Girl
"Family, Comedy, Adventure, Animation, Fantasy",en,2021-03-25,7.3,looking; garden; figure,Peter Rabbit 2: The Runaway
"Animation, Action, Science Fiction",ja,2013-03-30,6.8,lingers; stop; battle,Dragon Ball Z: Battle of Gods
"Animation, Family, Fantasy, Comedy, Music, Adventure",en,2021-09-23,8.1,determined; believes; Unicorns,My Little Pony: A New Generation
Action,en,2021-01-08,6.3,operation; Brad; wife,Redemption Day
"Adventure, Action, Science Fiction",en,2012-01-19,6.1,thought; grandfather; Anderson,Journey 2: The Mysterious Island
"Drama, Comedy, Romance",en,2010-11-22,7.0,anyone; anything; influence,Love & Other Drugs
"Fantasy, Drama, Romance, History",en,2022-01-21,7.4,further; steal; illegitimate,The King's Daughter
"Action, Comedy, Adventure",en,2018-05-10,7.5,Wisecracking; mercenary; boys,Deadpool 2
"Action, Crime, Thriller",en,2017-04-12,6.9,closest; face; never,The Fate of the Furious
"Fantasy, Action",en,2008-07-01,6.3,repair; superhero; public,Hancock
"Science Fiction, Adventure, Thriller",en,2014-11-19,6.8,Everdeen; reluctantly; symbol,The Hunger Games: Mockingjay - Part 1
"Animation, Action, Science Fiction",ja,1994-03-12,6.7,Saiyan; Earth; Broly,Dragon Ball Z: Broly – Second Coming
"Horror, Thriller",en,2013-07-18,7.5,terrorized; confront; farmhouse,The Conjuring
"Comedy, Romance",ko,2021-06-04,7.9,highs; make; trying,Sweet & Sour
Drama,es,2021-11-12,4.0,began; team; ran,The Belly of the Sea
"Action, Animation",ja,2020-11-27,3.5,girls; off; how,Grisaia: Phantom Trigger The Animation
"Adventure, Fantasy",en,2016-11-16,7.3,dangerous; Magical; Scamander,Fantastic Beasts and Where to Find Them
"Action, Drama, Horror, Science Fiction, Thriller",en,2013-06-20,6.8,long; whole; mindless,World War Z
"Animation, Music, Family",en,2021-08-20,7.3,program; it’s; City,"Barbie: Big City, Big Dreams"
"Animation, Action, Adventure, Comedy, Family, Fantasy, Science Fiction",en,2021-06-20,6.9,Jam; Astonished; capture,Teen Titans Go! See Space Jam
"Action, Comedy",en,2021-07-15,6.7,management; anger; goes,Jolt
"Animation, Family, Comedy, Fantasy",en,2020-10-23,6.9,insightful; identity; snowy,Once Upon a Snowman
Crime,es,2021-10-08,6.9,summer; Introverted; hold,Outlaws
"Animation, Action, Fantasy",en,2021-08-30,8.0,tournaments; Outworld; tournament,Mortal Kombat Legends: Battle of the Realms
"Action, Thriller",en,2021-06-11,6.2,former; —; militants,Rogue Hostage
"Drama, Romance",en,2018-01-17,6.7,newlyweds; connection; past,Fifty Shades Freed
"Action, Science Fiction, Fantasy",en,2020-11-20,5.0,celebrated; battle; defeat,Jiu Jitsu
"Action, Thriller, Crime",en,2009-04-16,6.0,ticker; mobster; heart,Crank: High Voltage
"Adventure, Fantasy, Action",en,2001-12-18,8.4,order; hobbit; fellowship,The Lord of the Rings: The Fellowship of the Ring
"Animation, Family, Adventure",en,1998-06-18,7.9,Huns; wisecracking; Imperial,Mulan
"Adventure, Fantasy, Action",en,2011-04-21,6.8,Asgard; sends; among,Thor
"Comedy, Drama, Romance",en,2008-05-12,6.6,York; girlfriends; married,Sex and the City
Thriller,en,2021-07-30,6.4,struggles; priceless; survive,Masquerade
"Animation, Family, Fantasy",en,1989-11-17,7.4,characters; Prince; human,The Little Mermaid
"Comedy, Romance",es,2021-07-30,6.8,oscillating; couple; difficult,More the Merrier
Horror,es,2021-05-05,6.2,knowing; grandmas; Carmen,The Exorcism of Carmen Farias
"Action, Horror, Thriller",ko,2016-07-20,7.8,train; viral; Those,Train to Busan
"Animation, Family, Adventure, Fantasy",en,2013-11-20,7.3,Shes; true; true,Frozen
"Animation, Fantasy, Action",ja,2012-07-28,7.6,Namikaze; or; called,Naruto Shippuden the Movie: Road to Ninja
"Action, Science Fiction, Adventure",en,2010-07-15,8.4,inception; thief; persons,Inception
"Crime, Thriller",en,2021-02-27,8.1,teen; Don; blow,Girl in the Basement
"Comedy, Romance, Drama",en,2009-06-01,7.1,learns; visa; deported,The Proposal
"Animation, Adventure, Action, Fantasy",ja,2020-02-01,7.6,these; small; encounter,Goblin Slayer: Goblin's Crown
"Family, Fantasy, Animation, Romance",en,1950-02-22,7.0,gown; spell; broken,Cinderella
Horror,es,2021-10-21,7.0,make; hand; no,El amarre
Comedy,en,2009-06-02,7.3,locate; try; –,The Hangover
"Adventure, Comedy, Family, Fantasy",en,2005-07-13,7.0,wins; candy; chocolate,Charlie and the Chocolate Factory
"Action, Adventure, Science Fiction",en,2018-06-06,6.6,Owen; So; extinction,Jurassic World: Fallen Kingdom
"Thriller, Action, Crime",en,2017-02-08,7.3,world’s; guild; killers,John Wick: Chapter 2
"Comedy, Family",es,2021-12-17,7.5,caring; fun; Flora,Mamá o papá
"Family, Adventure, Animation, Comedy, Fantasy, Drama",en,2019-06-19,7.6,toy; Woody; confident,Toy Story 4
"Fantasy, Drama, Romance",en,2008-11-20,6.3,cant; move; falls,Twilight
"Crime, Comedy, Action, Adventure",en,2014-12-13,7.6,threat; spy; program,Kingsman: The Secret Service
"Drama, Crime",en,2021-11-24,7.6,prison; sentence; society,The Unforgivable
"Action, Science Fiction, Adventure",en,2013-07-11,6.8,Ocean; alien; band,Pacific Rim
"Family, Animation",en,2020-09-10,7.0,relative; Patrol; royal,PAW Patrol: Jet To The Rescue
"Drama, Romance",en,1997-11-18,7.9,through; voyage—on; Fabrizio,Titanic
"Adventure, Fantasy, Action",en,2012-11-26,7.3,Gandalf; Smaug; enjoying,The Hobbit: An Unexpected Journey
"Horror, Thriller",en,2016-06-08,7.3,alone; Ed; Lorraine,The Conjuring 2
"Comedy, Romance",it,2022-01-05,6.2,different; challenging; romcom,Four to Dinner
"Action, Thriller",en,2016-10-19,5.9,prove; innocence; exinvestigator,Jack Reacher: Never Go Back
"Adventure, Action, Science Fiction, Thriller",en,2022-06-08,0.0,whether; creatures; fearsome,Jurassic World Dominion
Crime,fi,2021-10-27,6.9,bestknown; killer; painted,Bordertown: The Mural Murders
"Action, Thriller",en,2021-06-03,5.5,farreaching; heist; renowned,The Misfits
"Drama, Science Fiction, Thriller",en,2021-06-09,6.0,global; question; wipes,Awake
"Thriller, Drama, Crime",hi,2021-11-19,7.2,news; radio; career,Dhamaka
Drama,en,1999-10-15,8.4,gets; ignites; therapy,Fight Club
"Adventure, Family, Animation",en,2019-07-12,7.1,Simbas; ultimately; King,The Lion King
"Thriller, Horror, Mystery",en,2021-09-01,7.0,discovers; shocking; grisly,Malignant
"Action, Adventure, Drama, Family",en,2010-06-10,6.5,Ying; Han; no,The Karate Kid
"Action, Science Fiction, Fantasy",en,2022-03-30,0.0,than; attempts; desperate,Morbius
"Comedy, Family, Romance",es,2022-02-09,4.0,party; looking; probability,¡Qué Despadre!
"Horror, Thriller",en,2021-01-26,6.0,inhabited; deadly; Appalachian,Wrong Turn
"Action, Adventure, Science Fiction, Fantasy, Drama",en,2023-06-23,0.0,mother; travels; murder,The Flash
"Action, Adventure, Science Fiction",en,2018-02-13,7.4,Black; countrys; nation,Black Panther
"Animation, Drama",ja,2016-09-17,8.4,until; turn; wants,A Silent Voice: The Movie
"Animation, Family",en,2003-05-30,7.8,forgetful; taken; meeting,Finding Nemo
"Thriller, Action",en,2014-12-16,6.2,inspector; pursued; skills,Taken 3
"Adventure, Fantasy, Action",en,2003-12-01,8.5,Sam; revealed; heir,The Lord of the Rings: The Return of the King
Horror,en,2003-05-21,6.2,themselves; stalked; killer,The Texas Chainsaw Massacre
"Animation, Family, Comedy",en,2021-07-30,7.6,friend; lifetime; journey,Vivo
"Animation, Action",en,2020-10-13,7.2,down; adaptation; storyline,Batman: Death in the Family
"Animation, Drama, Fantasy, Romance",ja,2019-06-19,8.1,strongwilled; Hodaka; gloomy,Weathering with You
"Action, Adventure, Animation, Family",en,2004-10-27,7.7,heroic; its; days,The Incredibles
Comedy,en,2021-03-04,6.6,Lavelle; again; discovers,Coming 2 America
Comedy,fr,2021-09-15,6.3,decides; spoiled; teach,Spoiled Brats
"Action, Science Fiction, Adventure",en,2008-04-30,7.6,weaponized; Afghan; held,Iron Man
Thriller,en,2021-08-16,6.1,fighters; existence; eye,Plan A
"Horror, Thriller, Mystery",en,2021-07-01,6.8,unwittingly; theyve; themselves,Escape Room: Tournament of Champions
"Science Fiction, Action, Fantasy",en,1997-06-20,4.3,Robin; issues; deal,Batman & Robin
"Action, Fantasy, Horror",en,2012-06-20,5.7,slaveowning; helpers; Lincolns,Abraham Lincoln: Vampire Hunter
"Action, Adventure, Science Fiction, Thriller",en,2015-06-06,6.7,now; fully; events,Jurassic World
Documentary,en,2017-03-28,5.5,without; juxtaposes; Delving,After Porn Ends 2
"Action, Adventure, Drama",ja,2021-04-23,7.9,1879; brotherinlaw; enemy,Rurouni Kenshin: The Final
"Thriller, Animation, Action, Comedy, Horror, Mystery",ja,2011-07-30,7.2,Kumogakure; Raikage; power,Naruto Shippuden the Movie: Blood Prison
"Action, Comedy, Thriller, Horror",no,2021-07-30,6.7,plans; guise; arrive,The Trip
Comedy,en,2010-06-24,6.3,weekend; five; good,Grown Ups
"Animation, Action, Science Fiction",ja,1994-07-09,5.8,adventure; Jaga; Mr,Dragon Ball Z: Bio-Broly
"Adventure, Action, Fantasy",en,2017-05-23,6.6,downonhisluck; allnew; feels,Pirates of the Caribbean: Dead Men Tell No Tales
"Animation, Comedy, Family, Adventure",en,2009-06-26,6.7,mammoth; moody; crafty,Ice Age: Dawn of the Dinosaurs
Drama,en,2021-02-25,4.2,survival; men; Roman,The Penitent Thief
"Animation, Adventure",ja,2020-12-25,7.3,Ketchum; cant; use,Pokémon the Movie: Secrets of the Jungle
"Mystery, Adventure, Comedy",en,2002-06-14,6.0,strange; also; until,Scooby-Doo
"Animation, Family",en,2010-11-24,7.6,away; Flynn; hair,Tangled
"Action, Adventure, Science Fiction",en,2013-04-18,6.9,odyssey; torn; apart,Iron Man 3
"Action, Adventure, Fantasy",en,2010-06-30,4.7,Avatars; adventures; Fire,The Last Airbender
"Western, Action",en,2021-09-10,5.8,MacMasters; marshal; posse,Catch the Bullet
"Adventure, Comedy, Fantasy",en,2019-12-04,7.0,gang; order; return,Jumanji: The Next Level
"Drama, Romance",en,2017-02-08,6.5,future; tries; stability,Fifty Shades Darker
"Animation, Family, Comedy, Music, Fantasy",en,2021-08-20,7.8,move; discover; Scotland,The Loud House Movie
"Drama, Romance",ko,2020-07-06,7.3,my; forgotten; aunt,The Secret to Be Told: Relationship With My Aunt
"Drama, Comedy",es,2021-10-05,6.1,sperm; meets; donor,This Is Not a Comedy
"Horror, Mystery",en,2021-06-28,6.8,brutal; centuries; notorious,Fear Street: 1994
"Action, Adventure, Fantasy, Science Fiction",en,2017-11-15,6.1,threat; Fuelled; inspired,Justice League
"Action, Adventure, Animation, Family",en,2018-06-14,7.5,taking; –; day,Incredibles 2
"Science Fiction, Adventure, Action",en,2018-03-28,7.6,created; fortune; system,Ready Player One
"Fantasy, Adventure",en,2022-04-07,0.0,wizarding; Newt; unaware,Fantastic Beasts: The Secrets of Dumbledore
"Animation, Family",en,2021-12-09,7.4,visiting; cheer; clock,Snoopy Presents: For Auld Lang Syne
Comedy,en,2000-07-07,6.3,outrageously; movies; familiarlooking,Scary Movie
"Horror, Thriller, Mystery",en,2021-09-29,6.0,immigrant; escape; nightmare,No One Gets Out Alive
"Adventure, Drama, Science Fiction",en,2014-11-05,8.4,explorers; travel; discovered,Interstellar
"Animation, Family, Action, Comedy, Science Fiction, Fantasy",en,2017-02-08,7.2,rule; plan; City,The Lego Batman Movie
"Action, Adventure, Fantasy",en,2019-05-03,7.0,monsters; collect; across,Pokémon Detective Pikachu
Action,en,2021-09-10,6.7,revenge; bond; ruthless,Kate
"Adventure, Family, Fantasy",en,2005-12-07,7.1,battle; free; peaceful,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
"Comedy, Family",en,1998-07-28,7.1,each; Hallie; girls,The Parent Trap
"Romance, Family, Animation, Fantasy",en,1991-10-22,7.7,important; castle; herself,Beauty and the Beast
"Animation, Adventure",en,2019-04-18,7.9,path; perils; guides,The Pilgrim's Progress
"Action, Adventure, Fantasy",en,2013-10-30,6.6,returns; fights; embark,Thor: The Dark World
"Animation, Family, Fantasy",ja,1997-03-26,6.7,shes; grandmother; granted,Dragon Ball GT: A Hero's Legacy
"Animation, Comedy, Family",en,2007-07-25,7.0,gigantic; supply; EPA,The Simpsons Movie
"Action, Thriller, Crime",en,2019-05-15,7.4,tag; shadowy; head,John Wick: Chapter 3 - Parabellum
"Action, Drama, Science Fiction",en,2017-02-28,7.8,border; future; legacy,Logan
"Science Fiction, Action, Adventure",en,2014-06-25,5.9,Autobots; ingenious; technology,Transformers: Age of Extinction
"Animation, Family, Adventure, Drama, Comedy",en,2015-06-09,7.9,city; Headquarters; no,Inside Out
"Thriller, Action, Crime",en,2020-01-15,7.2,ruthless; Miami; midlife,Bad Boys for Life
"Science Fiction, Thriller",en,2021-04-08,6.2,uncover; women; insatiable,Voyagers
"Science Fiction, Action, Thriller, Adventure",en,2015-06-23,5.9,war; 2029; plot,Terminator Genisys
"Adventure, Fantasy, Action",en,2002-12-18,8.4,Saruman; All; Merry,The Lord of the Rings: The Two Towers
"Comedy, Thriller, Drama",ko,2019-05-30,8.5,unexpected; wealthy; unemployed,Parasite
"Crime, Drama",en,2021-09-22,6.7,Soprano; changing; idolizes,The Many Saints of Newark
"Action, Comedy, Mystery, Crime",en,2016-06-15,6.4,international; lured; old,Central Intelligence
"Animation, Comedy, Family, Adventure",en,2009-05-28,7.9,persistent; Wilderness; globe,Up
"Drama, Crime, Thriller",en,2009-10-15,7.3,deal; hands; sets,Law Abiding Citizen
"Thriller, Adventure, Action",en,2010-08-03,6.2,mercenaries; expert; nature,The Expendables
"Horror, Mystery",en,2021-07-08,7.3,together; rival; solve,Fear Street: 1978
"Action, Crime",en,2020-02-05,7.0,placed; singer; Harley,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn)
"Family, Fantasy, Comedy",pl,2021-12-06,6.3,moving; Mountains; near,David and the Elves
"Science Fiction, Action, Thriller",en,2010-07-03,6.2,planet; extraterrestrial; themselves,Predators
"Thriller, Crime",en,2021-02-19,6.5,broker; dealings; rural,Body Brokers
"Science Fiction, Action",en,2020-10-25,5.6,now; hybrids; team,Skylines
"Horror, Thriller",en,2022-03-03,7.0,dates; charming; lame,Fresh
Documentary,it,2016-06-24,5.5,soul; political; body,Porn to Be Free
Science Fiction,en,2020-08-31,5.7,prisoner; room; cell,Solitary
"Horror, Crime, Mystery",en,2021-05-12,6.2,Detective; city’s; “Zeke”,Spiral: From the Book of Saw
"Action, Adventure, Comedy, Crime, Thriller",en,2017-09-20,7.0,place; attack; American,Kingsman: The Golden Circle
"Family, Comedy, Fantasy, Animation",en,2021-04-30,7.1,surprising; plot; 5,22 vs. Earth
"Action, Thriller, Crime, Adventure",en,2015-04-01,7.3,comatose; brother; Deckard,Furious 7
"Adventure, Action, Science Fiction",en,2017-04-19,7.6,Guardians; unravel; Quills,Guardians of the Galaxy Vol. 2
"Animation, Family, Comedy",en,2010-06-16,7.8,Andys; escape; Woody,Toy Story 3
"Thriller, Horror",en,2021-01-26,6.2,haunted; solitary; found,Caged
"Thriller, Action, Crime, Drama",en,2020-09-03,6.5,corrupt; tries; wants,Honest Thief
